validation,observations,RMSE,MAE,R_squared,geography,crisis,predictors
5-fold cross-validation,51,0.023879568241315905,0.018077306776701895,-0.06529538012058667,State,Great Recession,8
5-fold cross-validation,51,0.02352174567468401,0.01816048747735812,0.3300001308214947,State,COVID-19,8
