geography,crisis,fold,epoch,training_loss,validation_loss,training_mae,validation_mae,learning_rate
State,Great Recession,1,1,2.011730670928955,2.140536069869995,1.0526560544967651,1.2061971426010132,0.0020000000949949026
State,Great Recession,1,2,1.2093931436538696,2.011932611465454,0.9509323835372925,1.162442684173584,0.0020000000949949026
State,Great Recession,1,3,2.132636547088623,1.9096205234527588,1.124660611152649,1.1298205852508545,0.0020000000949949026
State,Great Recession,1,4,1.4430673122406006,1.8591817617416382,0.9411502480506897,1.1119288206100464,0.0020000000949949026
State,Great Recession,1,5,1.6762402057647705,1.791703701019287,1.0190958976745605,1.0915902853012085,0.0020000000949949026
State,Great Recession,1,6,1.9413810968399048,1.7542322874069214,0.9146044254302979,1.0757935047149658,0.0020000000949949026
State,Great Recession,1,7,1.2859450578689575,1.7206014394760132,0.9170775413513184,1.0562771558761597,0.0020000000949949026
State,Great Recession,1,8,1.202488660812378,1.6934278011322021,0.8961941599845886,1.0369774103164673,0.0020000000949949026
State,Great Recession,1,9,1.2644133567810059,1.678008794784546,0.8365605473518372,1.0238091945648193,0.0020000000949949026
State,Great Recession,1,10,1.1859900951385498,1.657408356666565,0.8732944130897522,1.0079703330993652,0.0020000000949949026
State,Great Recession,1,11,1.0412002801895142,1.6469515562057495,0.7939353585243225,0.9966149926185608,0.0020000000949949026
State,Great Recession,1,12,0.8455044031143188,1.6195006370544434,0.71097564697265625,0.9813349843025208,0.0020000000949949026
State,Great Recession,1,13,1.0995728969573975,1.6221634149551392,0.8226388692855835,0.9753071069717407,0.0020000000949949026
State,Great Recession,1,14,1.113046407699585,1.627832055091858,0.7710299491882324,0.9680413007736206,0.0020000000949949026
State,Great Recession,1,15,0.993494987487793,1.6385937929153442,0.829319953918457,0.9676108360290527,0.0020000000949949026
State,Great Recession,1,16,1.078940749168396,1.6502429246902466,0.8307194709777832,0.9676976799964905,0.0020000000949949026
State,Great Recession,1,17,0.9748877286911011,1.6645257472991943,0.7809115052223206,0.9712299704551697,0.0020000000949949026
State,Great Recession,1,18,0.9894228577613831,1.6768022775650024,0.7817116975784302,0.9741096496582031,0.0020000000949949026
State,Great Recession,1,19,0.963719367980957,1.688150405883789,0.7819461822509766,0.9730150103569031,0.0020000000949949026
State,Great Recession,1,20,1.202288031578064,1.7099608182907104,0.901892900466919,0.9769023656845093,0.0020000000949949026
State,Great Recession,1,21,0.7774781584739685,1.7216650247573853,0.6367307305335999,0.9785193800926208,0.0010000000474974513
State,Great Recession,1,22,0.8253950476646423,1.7308659553527832,0.6847955584526062,0.9825540781021118,0.0010000000474974513
State,Great Recession,1,23,1.111159086227417,1.7342572212219238,0.8476781845092773,0.9820965528488159,0.0010000000474974513
State,Great Recession,1,24,1.152808427810669,1.7491919994354248,0.7916404604911804,0.9844319820404053,0.0010000000474974513
