geography,crisis,validation,observations,predictors,mtry,RMSE,MAE,R_squared,nodesize
State,Great Recession,Out-of-bag,51,8,4,0.023839564932757774,0.018658083344563252,-0.061729181223745044,10
State,COVID-19,Out-of-bag,51,8,3,0.02309143535482377,0.017484207805851817,0.35429005287990334,10
