geography,crisis,validation,observations,predictors,mtry,RMSE,MAE,R_squared,nodesize
County,Great Recession,20% holdout,643,32,6,0.11005676917431612,0.07250170354020055,0.19629628602221494,5
County,COVID-19,20% holdout,644,32,11,0.07501632671864802,0.03852456088042011,0.3726346549854541,10
