geography,crisis,fold,epoch,training_loss,validation_loss,training_mae,validation_mae,learning_rate
County,Great Recession,single split,1,1.4022272825241089,1.3382384777069092,0.8451970815658569,0.7251618504524231,0.0020000000949949026
County,Great Recession,single split,2,1.0525003671646118,1.3231064081192017,0.7298940420150757,0.7170951962471008,0.0020000000949949026
County,Great Recession,single split,3,1.0418730974197388,1.3082576990127563,0.7204491496086121,0.7094363570213318,0.0020000000949949026
County,Great Recession,single split,4,0.9911933541297913,1.2967504262924194,0.6991472840309143,0.7043826580047607,0.0020000000949949026
County,Great Recession,single split,5,0.9935889840126038,1.294691801071167,0.699586033821106,0.702795684337616,0.0020000000949949026
County,Great Recession,single split,6,0.9657615423202515,1.294952154159546,0.6847265958786011,0.7060991525650024,0.0020000000949949026
County,Great Recession,single split,7,0.9846383333206177,1.2940632104873657,0.689777672290802,0.7052614688873291,0.0020000000949949026
County,Great Recession,single split,8,0.9551923274993896,1.2915470600128174,0.6764920949935913,0.7045198678970337,0.0020000000949949026
County,Great Recession,single split,9,0.934188187122345,1.2892348766326904,0.674767792224884,0.7033133506774902,0.0020000000949949026
County,Great Recession,single split,10,0.9568896889686584,1.2849280834197998,0.674476683139801,0.7001373767852783,0.0020000000949949026
County,Great Recession,single split,11,0.9466778039932251,1.2786431312561035,0.6708924770355225,0.6955640912055969,0.0020000000949949026
County,Great Recession,single split,12,0.9305475950241089,1.2742201089859009,0.665977418422699,0.6930742263793945,0.0020000000949949026
County,Great Recession,single split,13,0.9235438704490662,1.2698345184326172,0.6651309728622437,0.6913400292396545,0.0020000000949949026
County,Great Recession,single split,14,0.9149191975593567,1.2651535272598267,0.6610741019248962,0.6896322965621948,0.0020000000949949026
County,Great Recession,single split,15,0.9167247414588928,1.2619060277938843,0.6583448052406311,0.6881504654884338,0.0020000000949949026
County,Great Recession,single split,16,0.9072021245956421,1.263021469116211,0.659265398979187,0.6879099011421204,0.0020000000949949026
County,Great Recession,single split,17,0.9013123512268066,1.2676066160202026,0.6590855121612549,0.6901339292526245,0.0020000000949949026
County,Great Recession,single split,18,0.9111993908882141,1.2664008140563965,0.6567976474761963,0.6876066327095032,0.0020000000949949026
County,Great Recession,single split,19,0.8952974677085876,1.2646803855895996,0.6509521007537842,0.6872645616531372,0.0020000000949949026
County,Great Recession,single split,20,0.9008874297142029,1.2628817558288574,0.6522912979125977,0.6869518756866455,0.0020000000949949026
County,Great Recession,single split,21,0.9020394682884216,1.263037919998169,0.6526528000831604,0.6892765164375305,0.0020000000949949026
County,Great Recession,single split,22,0.9060025811195374,1.2625924348831177,0.6545987129211426,0.6887389421463013,0.0020000000949949026
County,Great Recession,single split,23,0.9162822365760803,1.2611703872680664,0.6590490937232971,0.6882291436195374,0.0020000000949949026
County,Great Recession,single split,24,0.9022811651229858,1.2601019144058228,0.6536726951599121,0.688143253326416,0.0020000000949949026
County,Great Recession,single split,25,0.8910726308822632,1.2615216970443726,0.6466638445854187,0.6879606246948242,0.0020000000949949026
County,Great Recession,single split,26,0.9075298309326172,1.2571122646331787,0.6570566892623901,0.6851980090141296,0.0020000000949949026
County,Great Recession,single split,27,0.8954645991325378,1.262364149093628,0.6488653421401978,0.6886270642280579,0.0020000000949949026
County,Great Recession,single split,28,0.8914548754692078,1.2626636028289795,0.6471413969993591,0.6851208209991455,0.0020000000949949026
County,Great Recession,single split,29,0.8920475244522095,1.2556394338607788,0.6506446003913879,0.6821249723434448,0.0020000000949949026
County,Great Recession,single split,30,0.896298885345459,1.2571446895599365,0.6511013507843018,0.6823881268501282,0.0020000000949949026
